rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
171,Austin Wells,,24,NYY,AL,110,96,85,872.1,936,892,33,11,5,0.988,5,7,11,15,9.54,9.16,8.41,9.03
172,Luis Arráez,,27,2TM,NL,100,100,81,872,644,508,127,9,59,0.986,0,0,-6,-8,6.55,6.68,5.72,6.63
172,Luis Arráez,,27,MIA,NL,33,33,21,290,142,61,77,4,22,0.972,-2,-7,-3,-12,4.28,4.28,3.37,4.89
172,Luis Arráez,,27,SDP,NL,67,67,60,582,502,447,50,5,37,0.99,2,3,-3,-6,7.69,7.88,7.1,7.65
173,J.T. Realmuto,,33,PHI,NL,99,99,93,871.1,938,899,34,5,5,0.995,2,3,0,0,9.64,9.06,9.42,8.94
174,Nick Fortes,,27,MIA,NL,109,99,79,864,878,831,38,9,3,0.99,1,1,5,7,9.05,9.06,7.97,8.94
175,Lars Nootbaar,,26,STL,NL,107,98,69,863,214,209,2,3,2,0.986,-4,-5,0,0,2.2,2.21,1.97,2.18
176,Seth Brown,,31,OAK,AL,121,93,72,862.2,398,367,27,4,17,0.99,-1,-2,-6,-8,4.11,4.19,3.1,4.25
177,Geraldo Perdomo,,24,ARI,NL,97,95,89,849.1,378,112,261,5,55,0.987,2,3,10,14,3.95,3.82,3.85,3.77
178,Christopher Morel,,25,2TM,2LG,106,104,60,846.2,272,84,175,13,15,0.952,-10,-14,-6,-9,2.75,2.83,2.44,2.76
178,Christopher Morel,,25,CHC,NL,74,73,34,579,168,47,112,9,8,0.946,-7,-14,-4,-8,2.47,2.55,2.15,2.51
178,Christopher Morel,,25,TBR,AL,32,31,26,267.2,104,37,63,4,7,0.962,-3,-14,-2,-9,3.36,3.44,3.13,3.33
179,Wenceel Pérez,,24,DET,AL,105,94,81,846.1,192,189,1,2,0,0.99,4,5,-2,-3,2.02,2.27,1.81,2.24
180,Korey Lee,,25,CHW,AL,113,93,88,838.1,861,824,33,4,4,0.995,-1,-1,-10,-14,9.2,9.16,7.58,9.03
181,Michael Conforto,,31,SFG,NL,106,95,84,835,159,152,5,2,1,0.987,-6,-9,0,0,1.69,2.21,1.48,2.18
182,Bryan De La Cruz,,27,2TM,NL,99,95,86,834.2,190,178,8,4,2,0.979,-9,-13,-7,-10,2.01,2.21,1.88,2.18
182,Bryan De La Cruz,,27,MIA,NL,55,54,46,473,103,96,6,1,1,0.99,-8,-20,-3,-8,1.94,2.21,1.85,2.18
182,Bryan De La Cruz,,27,PIT,NL,44,41,40,361.2,87,82,2,3,1,0.966,-1,-3,-4,-13,2.09,2.21,1.91,2.18
183,Ke'Bryan Hayes,,27,PIT,NL,96,93,92,829.2,265,75,185,5,28,0.981,8,12,10,14,2.82,2.55,2.71,2.51
184,Luis Robert Jr.,,26,CHW,AL,97,95,92,828.2,257,254,1,2,0,0.992,-8,-12,1,1,2.77,2.27,2.63,2.24
185,Fernando Tatis Jr.,,25,SDP,NL,96,95,86,822.2,182,171,6,5,1,0.973,-7,-10,0,0,1.94,2.21,1.84,2.18
186,Tyler Freeman,,25,CLE,AL,113,90,71,817,240,205,32,3,6,0.988,1,2,3,4,2.61,2.4,1.96,2.45
187,Santiago Espinal,,29,CIN,NL,105,90,79,816.2,253,85,162,6,20,0.976,-2,-3,-5,-7,2.72,3.07,2.17,3.01
188,Connor Joe,,31,PIT,NL,113,90,51,816.2,500,457,39,4,46,0.992,-8,-11,4,6,5.47,5.59,3.88,5.88
