player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Miguel Vargas,2024,24,LAD,NL,28,20,5,166.0,34,30,3,1,1,0.971,-3.0,-20.0,0,0.0,1.79,2.21,1.18,2.4
Miguel Vargas,2024,24,CHW,AL,37,37,35,318.0,92,28,60,4,9,0.957,-4.0,-14.0,-2,-8.0,2.49,2.47,2.38,2.43
Enmanuel Valdéz,2024,25,BOS,AL,68,57,33,479.1,217,71,140,6,23,0.972,-3.0,-9.0,-5,-13.0,3.96,3.93,3.06,3.82
Jackson Holliday,2024,20,BAL,AL,59,53,49,474.2,211,80,128,3,30,0.986,-6.0,-16.0,-3,-8.0,3.94,3.96,3.53,3.9
Iván Herrera,2024,24,STL,NL,56,52,47,469.2,496,476,17,3,2,0.994,-5.0,-13.0,-7,-18.0,9.45,9.06,8.8,8.94
Noelvi Marté,2024,22,CIN,NL,55,53,50,469.1,130,45,73,12,6,0.908,-4.0,-10.0,-8,-20.0,2.26,2.55,2.11,2.54
Garrett Mitchell,2024,25,MIL,NL,60,51,37,456.2,122,119,3,0,0,1.0,3.0,8.0,6,16.0,2.4,2.21,2.03,2.18
Tyler Soderstrom,2024,22,OAK,AL,59,53,42,455.0,404,377,24,3,47,0.993,1.0,2.0,-3,-8.0,7.93,8.04,6.68,7.94
Andy Ibáñez,2024,31,DET,AL,85,45,24,453.2,255,147,106,2,32,0.992,4.0,11.0,8,21.0,5.02,4.42,2.75,4.27
Cristian Pache,2024,25,3TM,2LG,78,47,29,451.2,123,117,3,3,0,0.976,1.0,1.0,3,8.0,2.39,2.21,1.54,2.18
Cristian Pache,2024,25,2TM,NL,76,47,29,447.2,123,117,3,3,0,0.976,1.0,1.0,3,8.0,2.41,2.21,1.58,2.18
Cristian Pache,2024,25,PHI,NL,45,30,18,282.2,73,69,2,2,0,0.973,3.0,14.0,4,17.0,2.26,2.21,1.58,2.18
Cristian Pache,2024,25,BAL,AL,2,0,0,4.0,0,0,0,0,0,,0.0,0.0,0,0.0,0.0,2.25,0.0,2.25
Cristian Pache,2024,25,MIA,NL,31,17,11,165.0,50,48,1,1,0,0.98,-3.0,-21.0,-1,-7.0,2.67,2.21,1.58,2.18
David Peralta,2024,36,SDP,NL,65,53,27,448.0,89,87,1,1,0,0.989,2.0,4.0,-1,-3.0,1.77,2.21,1.35,2.18
Nick Senzel,2024,29,2TM,2LG,54,52,45,446.1,143,35,102,6,8,0.958,-4.0,-9.0,-11,-30.0,2.76,2.53,2.54,2.5
Nick Senzel,2024,29,WSN,NL,47,45,39,388.1,128,28,95,5,8,0.961,-1.0,-2.0,-8,-25.0,2.85,2.55,2.62,2.51
Nick Senzel,2024,29,CHW,AL,7,7,6,58.0,15,7,7,1,0,0.933,-3.0,-58.0,-3,-62.0,2.17,2.44,2.0,2.4
Jordan Beck,2024,23,COL,NL,54,50,45,444.1,100,96,3,1,1,0.99,2.0,6.0,1,3.0,2.01,2.21,1.83,2.18
Luis Guillorme,2024,29,3TM,2LG,75,45,34,441.1,186,68,116,2,29,0.989,7.0,18.0,2,5.0,3.75,3.67,2.36,3.57
Luis Guillorme,2024,29,2TM,NL,25,16,11,150.0,67,22,45,0,10,1.0,5.0,36.0,2,16.0,4.02,4.1,2.58,3.91
Luis Guillorme,2024,29,ATL,NL,9,6,3,54.0,24,7,17,0,3,1.0,2.0,51.0,0,0.0,4.0,4.07,2.67,3.74
Luis Guillorme,2024,29,LAA,AL,50,29,23,291.1,119,46,71,2,19,0.983,2.0,8.0,0,0.0,3.61,3.45,2.25,3.39
Luis Guillorme,2024,29,ARI,NL,16,10,8,96.0,43,15,28,0,7,1.0,2.0,28.0,2,25.0,4.03,4.12,2.53,3.99
Willson Contreras,2024,32,STL,NL,51,50,48,431.2,383,359,21,3,1,0.992,0.0,0.0,0,0.0,7.92,9.06,7.45,8.94
Joey Meneses,2024,32,WSN,NL,50,49,46,431.2,387,358,29,0,39,1.0,0.0,1.0,0,0.0,8.07,8.29,7.74,8.18
Trevor Larnach,2024,27,MIN,AL,57,52,27,429.0,91,91,0,0,0,1.0,2.0,6.0,0,0.0,1.91,2.27,1.6,2.24
Garrett Stubbs,2024,31,PHI,NL,55,47,44,428.1,435,417,16,2,2,0.995,0.0,0.0,-2,-6.0,9.1,8.99,7.73,8.4
Ronald Acuña Jr.,2024,26,ATL,NL,48,48,47,428.0,102,98,2,2,0,0.98,-3.0,-9.0,-7,-20.0,2.1,2.21,2.08,2.18
Elehuris Montero,2024,25,COL,NL,54,49,43,426.0,477,453,21,3,47,0.994,-4.0,-11.0,-3,-8.0,10.01,8.29,8.78,8.18
Matt Wallner,2024,26,MIN,AL,58,49,33,425.1,113,109,4,0,1,1.0,-1.0,-4.0,0,0.0,2.39,2.27,1.95,2.22
Anthony Rendon,2024,34,LAA,AL,50,49,46,423.0,127,35,87,5,9,0.961,-5.0,-13.0,2,6.0,2.6,2.47,2.44,2.44
Donovan Solano,2024,36,SDP,NL,57,46,39,421.1,207,148,58,1,20,0.995,-1.0,-4.0,0,0.0,4.4,4.84,3.49,5.04
Kyle Stowers,2024,26,2TM,2LG,59,48,26,421.1,117,114,3,0,0,1.0,0.0,1.0,-1,-3.0,2.5,2.22,1.98,2.19
Kyle Stowers,2024,26,BAL,AL,12,7,2,63.1,16,16,0,0,0,1.0,-1.0,-15.0,0,0.0,2.27,2.27,1.33,2.24
Kyle Stowers,2024,26,MIA,NL,47,41,24,358.0,101,98,3,0,0,1.0,1.0,4.0,-1,-3.0,2.54,2.21,2.15,2.18
Yordan Alvarez,2024,27,HOU,AL,53,53,23,421.0,75,71,3,1,0,0.987,-2.0,-6.0,-5,-14.0,1.58,2.27,1.4,2.24
Dominic Canzone,2024,26,SEA,AL,61,50,36,420.2,100,100,0,0,0,1.0,4.0,10.0,1,3.0,2.14,2.27,1.64,2.24
Royce Lewis,2024,25,MIN,AL,52,50,44,419.2,132,42,83,7,7,0.947,-3.0,-7.0,-2,-6.0,2.68,2.5,2.36,2.49
Jhonkensy Noel,2024,22,CLE,AL,60,46,36,417.0,134,127,7,0,2,1.0,7.0,21.0,3,9.0,2.89,2.81,2.09,3.04
Austin Slater,2024,31,3TM,2LG,75,46,18,414.1,96,91,3,2,0,0.979,-3.0,-8.0,0,0.0,2.04,2.23,1.25,2.2
Austin Slater,2024,31,2TM,NL,46,29,12,260.0,59,55,2,2,0,0.966,-3.0,-12.0,-2,-9.0,1.97,2.21,1.24,2.18
Austin Slater,2024,31,SFG,NL,39,23,7,210.0,43,40,2,1,0,0.977,-4.0,-25.0,-1,-6.0,1.8,2.21,1.08,2.18
Austin Slater,2024,31,CIN,NL,7,6,5,50.0,16,15,0,1,0,0.938,2.0,38.0,-1,-24.0,2.7,2.21,2.14,2.19
Austin Slater,2024,31,BAL,AL,29,17,6,154.1,37,36,1,0,0,1.0,0.0,-1.0,2,16.0,2.16,2.27,1.28,2.24
David Fry,2024,28,CLE,AL,58,46,31,414.0,281,265,14,2,8,0.993,-2.0,-7.0,-4,-12.0,6.07,6.48,4.16,6.28
Hunter Goodman,2024,24,COL,NL,57,47,27,411.0,215,205,8,2,5,0.991,-4.0,-11.0,-4,-12.0,4.66,5.5,3.55,5.17
Romy González,2024,27,BOS,AL,85,40,17,407.2,216,133,78,5,18,0.977,-4.0,-13.0,0,0.0,4.66,4.45,2.18,4.31
Alex Jackson,2024,28,TBR,AL,58,46,30,407.0,468,444,18,6,2,0.987,1.0,3.0,2,6.0,10.22,9.16,7.97,9.03
Christian Yelich,2024,32,MIL,NL,48,47,44,402.1,79,75,3,1,1,0.987,-2.0,-5.0,-5,-15.0,1.74,2.21,1.63,2.18
Wilmer Flores,2024,32,SFG,NL,57,44,39,400.1,416,377,36,3,41,0.993,-3.0,-8.0,-2,-6.0,9.28,8.09,7.12,7.98
Austin Hedges,2024,31,CLE,AL,66,46,30,398.2,441,423,15,3,2,0.993,4.0,12.0,5,15.0,9.89,9.12,6.64,8.91
Juan Yepez,2024,26,WSN,NL,47,45,41,398.1,372,351,19,2,43,0.995,-4.0,-11.0,-2,-6.0,8.36,8.29,7.87,8.18
Jonah Bride,2024,28,MIA,NL,51,45,37,397.2,283,242,38,3,33,0.989,-4.0,-13.0,-2,-6.0,6.34,7.01,5.19,6.59
