rank,player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
418,Ian Hamilton,,29,NYY,AL,0.5,0,1,0,3.82,35,0,5,0,0,1,37.2,37,17,16,2,14,0,41,3,0,0,163,106,3.03,1.354,8.8,0.5,3.3,9.8,2.93
419,Zebby Matthews,,24,MIN,AL,-0.6,1,4,0.2,6.69,9,9,0,0,0,0,37.2,51,31,28,11,11,0,43,2,0,1,177,63,5.71,1.646,12.2,2.6,2.6,10.3,3.91
420,Sam Moll*,,32,CIN,NL,0.8,3,2,0.6,3.35,48,0,7,0,0,0,37.2,27,16,14,3,14,2,38,2,0,0,152,134,3.46,1.088,6.5,0.7,3.3,9.1,2.71
421,Manuel Rodríguez,,27,TBR,AL,1.1,3,4,0.429,2.15,40,0,12,0,0,2,37.2,29,13,9,3,11,1,34,5,0,2,158,187,3.67,1.062,6.9,0.7,2.6,8.1,3.09
422,Hunter Stratton,,27,PIT,NL,0.6,2,1,0.667,3.58,36,0,8,0,0,1,37.2,37,17,15,3,7,0,33,3,0,2,158,119,3.25,1.168,8.8,0.7,1.7,7.9,4.71
423,Danny Young*,,30,NYM,NL,-0.2,4,1,0.8,4.54,42,0,13,0,0,0,37.2,29,22,19,3,18,1,48,7,0,5,165,86,3.64,1.248,6.9,0.7,4.3,11.5,2.67
424,Brent Honeywell Jr.,,29,2TM,NL,0.6,1,1,0.5,2.63,20,1,13,0,0,1,37.2,32,12,11,3,11,0,18,2,1,2,149,155,4.28,1.142,7.6,0.7,2.6,4.3,1.64
424,Brent Honeywell Jr.,,29,PIT,NL,0.1,0,0,,2.7,2,0,1,0,0,0,3.1,3,1,1,0,2,0,1,0,0,0,15,173,4.37,1.5,8.1,0,5.4,2.7,0.5
424,Brent Honeywell Jr.,,29,LAD,NL,0.5,1,1,0.5,2.62,18,1,12,0,0,1,34.1,29,11,10,3,9,0,17,2,1,2,134,153,4.27,1.107,7.6,0.8,2.4,4.5,1.89
425,Colin Poche*,,30,TBR,AL,0.5,1,2,0.333,3.86,43,0,7,0,0,2,37.1,30,16,16,7,13,2,33,0,0,1,153,104,4.88,1.152,7.2,1.7,3.1,8,2.54
426,Braxton Garrett*,,26,MIA,NL,0.3,2,2,0.5,5.35,7,7,0,1,1,0,37,40,24,22,5,4,0,34,5,0,1,161,81,3.81,1.189,9.7,1.2,1,8.3,8.5
427,Tyler Phillips,,26,PHI,NL,-0.7,4,1,0.8,6.87,8,7,1,1,1,0,36.2,45,28,28,9,7,0,28,2,0,0,160,62,5.57,1.418,11,2.2,1.7,6.9,4
428,Dillon Tate,,30,2TM,AL,-0.1,2,1,0.667,4.66,33,0,10,0,0,1,36.2,42,21,19,2,12,0,27,4,0,0,164,84,3.71,1.473,10.3,0.5,2.9,6.6,2.25
428,Dillon Tate,,30,BAL,AL,-0.1,2,1,0.667,4.59,29,0,10,0,0,1,33.1,38,19,17,2,9,0,23,4,0,0,148,84,3.74,1.41,10.3,0.5,2.4,6.2,2.56
428,Dillon Tate,,30,TOR,AL,0,0,0,,5.4,4,0,0,0,0,0,3.1,4,2,2,0,3,0,4,0,0,0,16,84,3.47,2.1,10.8,0,8.1,10.8,1.33
429,Mason Black,,24,SFG,NL,-0.5,1,5,0.167,6.44,9,8,0,0,0,0,36.1,46,26,26,7,15,0,31,3,0,0,169,61,5.45,1.679,11.4,1.7,3.7,7.7,2.07
430,Justin Wrobleski*,,23,LAD,NL,-0.4,1,2,0.333,5.7,8,6,1,0,0,1,36.1,34,24,23,9,16,0,26,1,0,1,154,70,6.36,1.376,8.4,2.2,4,6.4,1.63
431,JT Chargois,,33,2TM,2LG,0.9,3,1,0.75,2.23,36,0,9,0,0,0,36.1,24,9,9,6,13,1,30,2,0,0,146,182,4.9,1.018,5.9,1.5,3.2,7.4,2.31
431,JT Chargois,,33,MIA,NL,0.6,1,0,1,1.62,15,0,7,0,0,0,16.2,15,3,3,3,7,1,12,0,0,0,71,271,5.33,1.32,8.1,1.6,3.8,6.5,1.71
431,JT Chargois,,33,SEA,AL,0.3,2,1,0.667,2.75,21,0,2,0,0,0,19.2,9,6,6,3,6,0,18,2,0,0,75,138,4.54,0.763,4.1,1.4,2.7,8.2,3
432,Nick Anderson,,33,KCR,AL,0.3,3,1,0.75,4.04,37,0,19,0,0,1,35.2,35,17,16,6,15,1,29,1,0,1,153,103,5.07,1.402,8.8,1.5,3.8,7.3,1.93
433,Jack Leiter,,24,TEX,AL,-1.6,0,3,0,8.83,9,6,1,0,0,0,35.2,44,39,35,7,17,0,31,3,0,3,173,44,5.66,1.71,11.1,1.8,4.3,7.8,1.82
